test_case,metric_type,trial_num,best
1,MC_SA,0,0.721727
1,SA,1,0.7225558146263821
1,MC_Avg,0,505454.58108827285
1,Avg,1,503564.04351166147
2,MC_SA,0,0.875368
2,SA,1,0.8753424830943378
2,MC_Avg,0,3379538.216819062
2,Avg,1,3380313.666216705
3,MC_SA,0,0.909904
3,SA,1,0.9095207116564945
3,MC_Avg,0,1052556.305419694
3,Avg,1,1053253.7639281044
4,MC_SA,0,0.858311
4,SA,1,0.8582570889069265
4,MC_Avg,0,1445311.014959548
4,Avg,1,1445825.7816695436
5,MC_SA,0,0.879692
5,SA,1,0.8796041160341433
5,MC_Avg,0,817946.7187266165
5,Avg,1,820110.0417187092
6,MC_SA,0,0.960234
6,SA,1,0.9602088347853734
6,MC_Avg,0,2802853.275482246
6,Avg,1,2803386.0554835405
7,MC_SA,0,0.702259
7,SA,1,0.7026044560044373
7,MC_Avg,0,270537.9129523304
7,Avg,1,270791.7813336586
8,MC_SA,0,0.839659
8,SA,1,0.8394555404379207
8,MC_Avg,0,3169278.8675317722
8,Avg,1,3171851.116667807
9,MC_SA,0,0.69203
9,SA,1,0.6919376009677913
9,MC_Avg,0,-91524.32652096119
9,Avg,1,-87771.99230378708
10,MC_SA,0,0.963363
10,SA,1,0.9633162769939055
10,MC_Avg,0,2748602.744476868
10,Avg,1,2749766.842681668
11,MC_SA,0,0.122173
11,SA,1,0.1221341196100834
11,MC_Avg,0,-659302.97586
11,Avg,1,-659295.5632575493
12,MC_SA,0,0.999258
12,SA,1,0.9992448441160919
12,MC_Avg,0,3372124.865333898
12,Avg,1,3371696.231144175
13,MC_SA,0,0.744025
13,SA,1,0.7417426633612085
13,MC_Avg,0,267642.8863299052
13,Avg,1,267788.638634078
14,MC_SA,0,0.904095
14,SA,1,0.9043994756488737
14,MC_Avg,0,325267.1932993657
14,Avg,1,325606.045918726
15,MC_SA,0,0.945304
15,SA,1,0.9455828002407409
15,MC_Avg,0,881522.0755181019
15,Avg,1,882026.4996531007
16,MC_SA,0,0.883278
16,SA,1,0.8828285748076621
16,MC_Avg,0,-58744.567878661015
16,Avg,1,-58741.41758234402
17,MC_SA,0,0.445563
17,SA,1,0.4457610130400821
17,MC_Avg,0,-182628.23600170173
17,Avg,1,-183003.34640845808
18,MC_SA,0,0.147766
18,SA,1,0.14665175234100772
18,MC_Avg,0,-583668.8855239492
18,Avg,1,-583357.2396963038
19,MC_SA,0,0.532043
19,SA,1,0.532012428345096
19,MC_Avg,0,2984.5518997341787
19,Avg,1,2185.3704428104975
20,MC_SA,0,0.958793
20,SA,1,0.9609883021764136
20,MC_Avg,0,892068.9473933966
20,Avg,1,891784.6605388374
21,MC_SA,0,0.746728
21,SA,1,0.7534672608016904
21,MC_Avg,0,1704320.4151257742
21,Avg,1,1704320.416313298
22,MC_SA,0,0.701849
22,SA,1,0.6887553673382617
22,MC_Avg,0,-725648.281479717
22,Avg,1,-696241.2754362923
23,MC_SA,0,0.812461
23,SA,1,0.8387183268851349
23,MC_Avg,0,-41976.907288884264
23,Avg,1,-76745.23489428195
24,MC_SA,0,0.962647
24,SA,1,0.9627818074317953
24,MC_Avg,0,-639740.4372429714
24,Avg,1,-643047.9541239653
25,MC_SA,0,0.709078
25,SA,1,0.698869052232682
25,MC_Avg,0,603167.0294833805
25,Avg,1,602602.988163685
26,MC_SA,0,0.905713
26,SA,1,0.9086763266778048
26,MC_Avg,0,323865.0473000222
26,Avg,1,316246.4839459553
27,MC_SA,0,0.277598
27,SA,1,0.2725994954356016
27,MC_Avg,0,-2929052.4053334496
27,Avg,1,-2920283.9025434377
28,MC_SA,0,0.685488
28,SA,1,0.678484350608014
28,MC_Avg,0,-2325590.604640491
28,Avg,1,-2306037.8020895286
29,MC_SA,0,0.887578
29,SA,1,0.8942863839737208
29,MC_Avg,0,1260821.0772204092
29,Avg,1,1260755.3442256032
30,MC_SA,0,0.832019
30,SA,1,0.8367950560181321
30,MC_Avg,0,-1211401.4629156692
30,Avg,1,-1208106.8850186039
31,MC_SA,0,0.746783
31,SA,1,0.7534672608016904
31,MC_Avg,0,1704320.335388698
31,Avg,1,1704320.416313298
32,MC_SA,0,0.254909
32,SA,1,0.2506197039709567
32,MC_Avg,0,-3950388.6262379056
32,Avg,1,-3943020.3993240194
33,MC_SA,0,0.610042
33,SA,1,0.6026154528639266
33,MC_Avg,0,-1545054.4230701593
33,Avg,1,-1547864.0342981513
34,MC_SA,0,0.069296
34,SA,1,0.06762308697923654
34,MC_Avg,0,-3696070.738671179
34,Avg,1,-3690477.73929742
35,MC_SA,0,0.516158
35,SA,1,0.49694779029920777
35,MC_Avg,0,-1105624.7692410254
35,Avg,1,-1102693.8144672103
36,MC_SA,0,0.478435
36,SA,1,0.45982092992321305
36,MC_Avg,0,-818070.9254566951
36,Avg,1,-807519.0518623443
37,MC_SA,0,0.385487
37,SA,1,0.3749103838746843
37,MC_Avg,0,-961520.2888202062
37,Avg,1,-959831.081173965
38,MC_SA,0,0.580582
38,SA,1,0.5472067740239097
38,MC_Avg,0,-1307539.8775776364
38,Avg,1,-1307105.645593634
39,MC_SA,0,0.747919
39,SA,1,0.7552431930150971
