test_case,metric_type,best_0,best_1,best_2,best_3,best_4,best_5
1,Avg,502088.4329483482,503564.0435116617,503564.0435116617,503564.0435116617,503564.0435116617,503564.0435116617
1,SA,0.722389,0.7225558146263821,0.7225558146263821,0.7225558146263821,0.7225558146263821,0.7225558146263821
2,Avg,3380324.351516821,3380313.666216706,3380313.666216706,3380313.666216706,3380313.666216706,3380313.666216706
2,SA,0.875221,0.8753424830943378,0.8753424830943378,0.8753424830943378,0.8753424830943378,0.8753424830943378
3,Avg,1053038.785051786,1053253.763928105,1053253.763928105,1053253.763928105,1053253.763928105,1053253.763928105
3,SA,0.909442,0.9095207116564944,0.9095207116564944,0.9095207116564944,0.9095207116564944,0.9095207116564944
4,Avg,1448616.876648713,1445825.7816695436,1445825.7816695436,1445825.7816695436,1445825.7816695436,1445825.7816695436
4,SA,0.858537,0.8582570889069265,0.8582570889069265,0.8582570889069265,0.8582570889069265,0.8582570889069265
5,Avg,818284.4613228065,820110.0417187096,820110.0417187096,820110.0417187096,820110.0417187096,820110.0417187096
5,SA,0.879834,0.8796041160341433,0.8796041160341433,0.8796041160341433,0.8796041160341433,0.8796041160341433
6,Avg,2800182.0427894094,2803386.0554835405,2803386.0554835405,2803386.0554835405,2803386.0554835405,2803386.0554835405
6,SA,0.959983,0.9602088347853734,0.9602088347853734,0.9602088347853734,0.9602088347853734,0.9602088347853734
7,Avg,273720.73515312246,270791.7813336585,270791.7813336585,270791.7813336585,270791.7813336585,270791.7813336585
7,SA,0.702635,0.7026044560044373,0.7026044560044373,0.7026044560044373,0.7026044560044373,0.7026044560044373
8,Avg,3164879.932011047,3171851.116667807,3171851.116667807,3171851.116667807,3171851.116667807,3171851.116667807
8,SA,0.839668,0.8394555404379207,0.8394555404379207,0.8394555404379207,0.8394555404379207,0.8394555404379207
9,Avg,-87804.62292471697,-87771.99230378734,-87771.99230378734,-87771.99230378734,-87771.99230378734,-87771.99230378734
9,SA,0.692303,0.6919376009677913,0.6919376009677913,0.6919376009677913,0.6919376009677913,0.6919376009677913
10,Avg,2750721.135584902,2749766.842681668,2749766.842681668,2749766.842681668,2749766.842681668,2749766.842681668
10,SA,0.963083,0.9633162769939057,0.9633162769939057,0.9633162769939057,0.9633162769939057,0.9633162769939057
11,Avg,-658593.94618,-659295.5632575494,-659295.5632575494,-659295.5632575494,-659295.5632575494,-659295.5632575494
11,SA,0.121828,0.1221341196100833,0.1221341196100833,0.1221341196100833,0.1221341196100833,0.1221341196100833
12,Avg,3372051.1196849803,3371695.337605247,3371695.337605247,3371695.337605247,3371695.337605247,3371695.337605247
12,SA,0.999184,0.9992991300079768,0.9992991300079768,0.9992991300079768,0.9992991300079768,0.9992991300079768
13,Avg,267583.0393092583,267625.7723807863,267625.7723807863,267625.7723807863,267625.7723807863,267625.7723807863
13,SA,0.743676,0.7470909640448231,0.7470909640448231,0.7470909640448231,0.7470909640448231,0.7470909640448231
14,Avg,325850.62602817366,325652.0059551651,325652.0059551651,325652.0059551651,325652.0059551651,325652.0059551651
14,SA,0.90449,0.9040910724084056,0.9040910724084056,0.9040910724084056,0.9040910724084056,0.9040910724084056
15,Avg,882047.5246319296,882001.6899193877,882001.6899193877,882001.6899193877,882001.6899193877,882001.6899193877
15,SA,0.945267,0.9450619954857636,0.9450619954857636,0.9450619954857636,0.9450619954857636,0.9450619954857636
16,Avg,-58901.51316567288,-58741.41758234447,-58741.41758234447,-58741.41758234447,-58741.41758234447,-58741.41758234447
16,SA,0.88297,0.8828285748076621,0.8828285748076621,0.8828285748076621,0.8828285748076621,0.8828285748076621
17,Avg,-183392.60450714483,-182997.11309470463,-182997.11309470463,-182997.11309470463,-182997.11309470463,-182997.11309470463
17,SA,0.445664,0.4458055275962711,0.4458055275962711,0.4458055275962711,0.4458055275962711,0.4458055275962711
18,Avg,-583465.5570636969,-583024.4746587235,-583024.4746587235,-583024.4746587235,-583024.4746587235,-583024.4746587235
18,SA,0.147991,0.1435736782573899,0.1435736782573899,0.1435736782573899,0.1435736782573899,0.1435736782573899
19,Avg,1539.9811558261788,2117.391141389322,2117.391141389322,2117.391141389322,2117.391141389322,2117.391141389322
19,SA,0.533218,0.5315817415773741,0.5315817415773741,0.5315817415773741,0.5315817415773741,0.5315817415773741
20,Avg,891920.7651537143,891784.6605388374,891784.6605388374,891784.6605388374,891784.6605388374,891784.6605388374
20,SA,0.958736,0.9609883021764136,0.9609883021764136,0.9609883021764136,0.9609883021764136,0.9609883021764136
21,Avg,1704320.1018803655,1704320.416313298,1704320.416313298,1704320.416313298,1704320.416313298,1704320.416313298
21,SA,0.746649,0.7534672935906439,0.7534672935906439,0.7534672935906439,0.7534672935906439,0.7534672935906439
22,Avg,-725378.1904419793,-726318.0277722267,-726318.0277722267,-726318.0277722267,-726318.0277722267,-726318.0277722267
22,SA,0.701407,0.6887553450340927,0.6887553450340927,0.6887553450340927,0.6887553450340927,0.6887553450340927
23,Avg,-42013.97287204248,-43273.07657242264,-43273.07657242264,-43273.07657242264,-43273.07657242264,-43273.07657242264
23,SA,0.812333,0.8387183420335242,0.8387183420335242,0.8387183420335242,0.8387183420335242,0.8387183420335242
24,Avg,-639602.1925549413,-643047.9541239653,-643047.9541239653,-643047.9541239653,-643047.9541239653,-643047.9541239653
24,SA,0.962709,0.9627818103505308,0.9627818103505308,0.9627818103505308,0.9627818103505308,0.9627818103505308
25,Avg,603170.4591027674,603599.7287467704,603599.7287467704,603599.7287467704,603599.7287467704,603599.7287467704
25,SA,0.709365,0.6988691022849898,0.6988691022849898,0.6988691022849898,0.6988691022849898,0.6988691022849898
26,Avg,322895.00008051866,316246.4839459553,316246.4839459553,316246.4839459553,316246.4839459553,316246.4839459553
26,SA,0.905482,0.9086763330056812,0.9086763330056812,0.9086763330056812,0.9086763330056812,0.9086763330056812
27,Avg,-2929004.685042444,-2920283.9025434377,-2920283.9025434377,-2920283.9025434377,-2920283.9025434377,-2920283.9025434377
27,SA,0.277404,0.2725994619972698,0.2725994619972698,0.2725994619972698,0.2725994619972698,0.2725994619972698
28,Avg,-2324787.626867636,-2313905.716963497,-2313905.716963497,-2313905.716963497,-2313905.716963497,-2313905.716963497
28,SA,0.685779,0.6784843464267413,0.6784843464267413,0.6784843464267413,0.6784843464267413,0.6784843464267413
29,Avg,1260948.6950443117,1260755.3442256032,1260755.3442256032,1260755.3442256032,1260755.3442256032,1260755.3442256032
29,SA,0.887953,0.894286380705206,0.894286380705206,0.894286380705206,0.894286380705206,0.894286380705206
30,Avg,-1211386.000724055,-1211132.7495830017,-1211132.7495830017,-1211132.7495830017,-1211132.7495830017,-1211132.7495830017
30,SA,0.831737,0.8367950608344571,0.8367950608344571,0.8367950608344571,0.8367950608344571,0.8367950608344571
31,Avg,1704320.0853183356,1704320.416313298,1704320.416313298,1704320.416313298,1704320.416313298,1704320.416313298
31,SA,0.746793,0.7534672935906439,0.7534672935906439,0.7534672935906439,0.7534672935906439,0.7534672935906439
32,Avg,-3950599.894797399,-3949427.135414576,-3949427.135414576,-3949427.135414576,-3949427.135414576,-3949427.135414576
32,SA,0.255202,0.2506196929486132,0.2506196929486132,0.2506196929486132,0.2506196929486132,0.2506196929486132
33,Avg,-1544808.9594530854,-1547868.0119746595,-1547868.0119746595,-1547868.0119746595,-1547868.0119746595,-1547868.0119746595
33,SA,0.6101,0.6026154127764395,0.6026154127764395,0.6026154127764395,0.6026154127764395,0.6026154127764395
34,Avg,-3695647.809760504,-3690477.73929742,-3690477.73929742,-3690477.73929742,-3690477.73929742,-3690477.73929742
34,SA,0.069082,0.0676230997728815,0.0676230997728815,0.0676230997728815,0.0676230997728815,0.0676230997728815
35,Avg,-1105631.4437252148,-1103619.0180266176,-1103619.0180266176,-1103619.0180266176,-1103619.0180266176,-1103619.0180266176
35,SA,0.516091,0.496947858490748,0.496947858490748,0.496947858490748,0.496947858490748,0.496947858490748
36,Avg,-817630.200056964,-812668.3858391388,-812668.3858391388,-812668.3858391388,-812668.3858391388,-812668.3858391388
36,SA,0.477828,0.4598208995209784,0.4598208995209784,0.4598208995209784,0.4598208995209784,0.4598208995209784
37,Avg,-961520.1047285208,-959831.081173965,-959831.081173965,-959831.081173965,-959831.081173965,-959831.081173965
37,SA,0.384941,0.3749104067803178,0.3749104067803178,0.3749104067803178,0.3749104067803178,0.3749104067803178
38,Avg,-1307604.1599718996,-1308146.2969810085,-1308146.2969810085,-1308146.2969810085,-1308146.2969810085,-1308146.2969810085
38,SA,0.580905,0.5472068414425959,0.5472068414425959,0.5472068414425959,0.5472068414425959,0.5472068414425959
39,Avg,37915.31850680637,32850.66091969382,32850.66091969382,32850.66091969382,32850.66091969382,32850.66091969382
39,SA,0.74826,0.7552431770451762,0.7552431770451762,0.7552431770451762,0.7552431770451762,0.7552431770451762
40,Avg,-426589.9103441524,-428546.3183866147,-428546.3183866147,-428546.3183866147,-428546.3183866147,-428546.3183866147
40,SA,0.761668,0.7724805182452287,0.7724805182452287,0.7724805182452287,0.7724805182452287,0.7724805182452287
41,Avg,-5259860.896245339,-5259860.780294266,-5259860.780294266,-5259860.780294266,-5259860.780294266,-5259860.780294266
41,SA,0.0,0.0,0.0,0.0,0.0,0.0
42,Avg,1167286.669793893,1163512.7740272935,1163512.7740272935,1163512.7740272935,1163512.7740272935,1163512.7740272935
42,SA,0.764284,0.7701578650740113,0.7701578650740113,0.7701578650740113,0.7701578650740113,0.7701578650740113
43,Avg,2037755.37058498,2035887.980549545,2035887.980549545,2035887.980549545,2035887.980549545,2035887.980549545
43,SA,0.849546,0.8582490887691313,0.8582490887691313,0.8582490887691313,0.8582490887691313,0.8582490887691313
44,Avg,2142844.822885924,2134927.7549410607,2134927.7549410607,2134927.7549410607,2134927.7549410607,2134927.7549410607
44,SA,0.843672,0.8515166135550924,0.8515166135550924,0.8515166135550924,0.8515166135550924,0.8515166135550924
45,Avg,4659183.664687906,4662368.568398043,4662368.568398043,4662368.568398043,4662368.568398043,4662368.568398043
45,SA,0.762902,0.7728322471600059,0.7728322471600059,0.7728322471600059,0.7728322471600059,0.7728322471600059
46,Avg,-1342539.1792270422,-1341096.4750111308,-1341096.4750111308,-1341096.4750111308,-1341096.4750111308,-1341096.4750111308
46,SA,0.457688,0.4243328076323048,0.4243328076323048,0.4243328076323048,0.4243328076323048,0.4243328076323048
47,Avg,941543.913228314,940685.6861303652,940685.6861303652,940685.6861303652,940685.6861303652,940685.6861303652
47,SA,0.855943,0.8642677691341398,0.8642677691341398,0.8642677691341398,0.8642677691341398,0.8642677691341398
48,Avg,196417.6124892264,196296.03856002504,196296.03856002504,196296.03856002504,196296.03856002504,196296.03856002504
48,SA,0.610433,0.5869690678634063,0.5869690678634063,0.5869690678634063,0.5869690678634063,0.5869690678634063
49,Avg,1911335.130645907,1908855.2739704896,1908855.2739704896,1908855.2739704896,1908855.2739704896,1908855.2739704896
49,SA,0.883818,0.886664766107346,0.886664766107346,0.886664766107346,0.886664766107346,0.886664766107346
50,Avg,937273.9246262786,941470.542707174,941470.542707174,941470.542707174,941470.542707174,941470.542707174
50,SA,0.873167,0.8828626741387142,0.8828626741387142,0.8828626741387142,0.8828626741387142,0.8828626741387142
51,Avg,-208078.1578,-207610.26675488468,-207610.26675488468,-207610.26675488468,-207610.26675488468,-207610.26675488468
51,SA,0.491677,0.4917049262414159,0.4917049262414159,0.4917049262414159,0.4917049262414159,0.4917049262414159
52,Avg,1302556.9419255392,1303079.0984450425,1303079.0984450425,1303079.0984450425,1303079.0984450425,1303079.0984450425
52,SA,0.949772,0.9496114145551312,0.9496114145551312,0.9496114145551312,0.9496114145551312,0.9496114145551312
53,Avg,262854.665709614,262870.8277033436,262870.8277033436,262870.8277033436,262870.8277033436,262870.8277033436
53,SA,0.873691,0.8734697415640441,0.8734697415640441,0.8734697415640441,0.8734697415640441,0.8734697415640441
54,Avg,3360666.1535630664,3359991.3500845674,3359991.3500845674,3359991.3500845674,3359991.3500845674,3359991.3500845674
54,SA,0.962927,0.9629691195040382,0.9629691195040382,0.9629691195040382,0.9629691195040382,0.9629691195040382
55,Avg,457530.6614095367,457398.3000276107,457398.3000276107,457398.3000276107,457398.3000276107,457398.3000276107
55,SA,0.989579,0.9895286585756892,0.9895286585756892,0.9895286585756892,0.9895286585756892,0.9895286585756892
56,Avg,366582.3038254178,366445.7237821433,366445.7237821433,366445.7237821433,366445.7237821433,366445.7237821433
56,SA,0.942987,0.9427247517085102,0.9427247517085102,0.9427247517085102,0.9427247517085102,0.9427247517085102
57,Avg,-311504.4691676594,-311670.7385540185,-311670.7385540185,-311670.7385540185,-311670.7385540185,-311670.7385540185
57,SA,0.284026,0.2835898815296399,0.2835898815296399,0.2835898815296399,0.2835898815296399,0.2835898815296399
58,Avg,4082846.084722052,4083742.788323166,4083742.788323166,4083742.788323166,4083742.788323166,4083742.788323166
58,SA,0.973718,0.9739204359987808,0.9739204359987808,0.9739204359987808,0.9739204359987808,0.9739204359987808
59,Avg,-188786.30775461573,-189017.67074192423,-189017.67074192423,-189017.67074192423,-189017.67074192423,-189017.67074192423
59,SA,0.586386,0.5861384315373724,0.5861384315373724,0.5861384315373724,0.5861384315373724,0.5861384315373724
60,Avg,485192.0032536346,485297.8319080675,485297.8319080675,485297.8319080675,485297.8319080675,485297.8319080675
60,SA,0.958656,0.9588065953938194,0.9588065953938194,0.9588065953938194,0.9588065953938194,0.9588065953938194
61,Avg,4182333.7567325584,4182334.209099167,4182334.209099167,4182334.209099167,4182334.209099167,4182334.209099167
61,SA,1.0,1.0,1.0,1.0,1.0,1.0
62,Avg,-2587763.5738806115,-2587763.402923123,-2587763.402923123,-2587763.402923123,-2587763.402923123,-2587763.402923123
62,SA,0.465029,0.4650291530981207,0.4650291530981207,0.4650291530981207,0.4650291530981207,0.4650291530981207
63,Avg,-1714369.0860899966,-1714368.809235075,-1714368.809235075,-1714368.809235075,-1714368.809235075,-1714368.809235075
