test_case,metric_type,trial_num,best
1,MC_SA,0,0.722742
1,SA,1,0.7225558146263821
1,MC_Avg,0,502930.8452282483
1,Avg,1,503564.0435116617
2,MC_SA,0,0.875403
2,SA,1,0.8753424830943378
2,MC_Avg,0,3380756.595471608
2,Avg,1,3380313.666216706
3,MC_SA,0,0.909701
3,SA,1,0.9095207116564945
3,MC_Avg,0,1053328.7242844321
3,Avg,1,1053253.763928105
4,MC_SA,0,0.857763
4,SA,1,0.8582570889069265
4,MC_Avg,0,1445306.2093771587
4,Avg,1,1445825.7816695436
5,MC_SA,0,0.879435
5,SA,1,0.8796041160341433
5,MC_Avg,0,821737.3183535523
5,Avg,1,820110.0417187096
6,MC_SA,0,0.960472
6,SA,1,0.9602088347853734
6,MC_Avg,0,2803188.235909662
6,Avg,1,2803386.0554835405
7,MC_SA,0,0.702325
7,SA,1,0.7026044560044373
7,MC_Avg,0,269154.69618082733
7,Avg,1,270791.78133365855
8,MC_SA,0,0.839216
8,SA,1,0.8394555404379207
8,MC_Avg,0,3171904.132506008
8,Avg,1,3171851.116667807
9,MC_SA,0,0.691824
9,SA,1,0.6919376009677913
9,MC_Avg,0,-86006.32077617178
9,Avg,1,-87771.99230378734
10,MC_SA,0,0.963205
10,SA,1,0.9633162769939055
10,MC_Avg,0,2746946.5287129367
10,Avg,1,2749766.842681668
11,MC_SA,0,0.12172
11,SA,1,0.12213411961008334
11,MC_Avg,0,-659333.02319
11,Avg,1,-659295.5632575497
12,MC_SA,0,0.999203
12,SA,1,0.9992448464218668
12,MC_Avg,0,3371261.3371792547
12,Avg,1,3371696.2311441624
13,MC_SA,0,0.743839
13,SA,1,0.7417432635218741
13,MC_Avg,0,267583.81944493303
13,Avg,1,267788.63862229453
14,MC_SA,0,0.904017
14,SA,1,0.9043994594233729
14,MC_Avg,0,325632.86683921376
14,Avg,1,325606.04591900937
15,MC_SA,0,0.945549
15,SA,1,0.9455827601145239
15,MC_Avg,0,882430.7229357668
15,Avg,1,882026.4996531047
16,MC_SA,0,0.882992
16,SA,1,0.8828285748076621
16,MC_Avg,0,-58943.131953854536
16,Avg,1,-58741.41758234447
17,MC_SA,0,0.446112
17,SA,1,0.4457610099125888
17,MC_Avg,0,-182391.66429057487
17,Avg,1,-183003.34640845843
18,MC_SA,0,0.14816
18,SA,1,0.14665076671582505
18,MC_Avg,0,-583492.2700100038
18,Avg,1,-583357.2396963047
19,MC_SA,0,0.532307
19,SA,1,0.5320124499892172
19,MC_Avg,0,3139.2042292630476
19,Avg,1,2185.3704428102064
20,MC_SA,0,0.958309
20,SA,1,0.9609888000233198
20,MC_Avg,0,891747.040509726
20,Avg,1,891784.660538837
21,MC_SA,0,0.746874
21,SA,1,0.7534672935906436
21,MC_Avg,0,1704320.4683403105
21,Avg,1,1704320.4161524894
22,MC_SA,0,0.70156
22,SA,1,0.6887553450323631
22,MC_Avg,0,-725532.3760314218
22,Avg,1,-726317.0478029165
23,MC_SA,0,0.81205
23,SA,1,0.8387183420335732
23,MC_Avg,0,-41754.54609537329
23,Avg,1,-43273.07665773167
24,MC_SA,0,0.962681
24,SA,1,0.9627818103619046
24,MC_Avg,0,-639758.7348782578
24,Avg,1,-643047.0319489201
25,MC_SA,0,0.709263
25,SA,1,0.6988691023527889
25,MC_Avg,0,603153.6437015367
25,Avg,1,603626.1336787484
26,MC_SA,0,0.90541
26,SA,1,0.9086763330057
26,MC_Avg,0,324542.8822023204
26,Avg,1,316176.4632553137
27,MC_SA,0,0.27783
27,SA,1,0.2725994619056603
27,MC_Avg,0,-2929721.4561063834
27,Avg,1,-2920271.9567825804
28,MC_SA,0,0.686087
28,SA,1,0.678484346331788
28,MC_Avg,0,-2325383.0645158524
28,Avg,1,-2313984.965991448
29,MC_SA,0,0.887721
29,SA,1,0.8942863807052132
29,MC_Avg,0,1260845.7986735937
29,Avg,1,1260728.1570702991
30,MC_SA,0,0.831661
30,SA,1,0.8367950608344598
30,MC_Avg,0,-1211379.7845190442
30,Avg,1,-1211132.3819514345
31,MC_SA,0,0.746357
31,SA,1,0.7534672935906436
31,MC_Avg,0,1704320.4739841097
31,Avg,1,1704320.4161524894
32,MC_SA,0,0.25461
32,SA,1,0.2506196917954281
32,MC_Avg,0,-3950697.3839372206
32,Avg,1,-3949470.244254793
33,MC_SA,0,0.610207
33,SA,1,0.6026154126874425
33,MC_Avg,0,-1545244.6696699036
33,Avg,1,-1547877.6961168973
34,MC_SA,0,0.069532
34,SA,1,0.06762309977288142
34,MC_Avg,0,-3695639.8007556093
34,Avg,1,-3690476.680309656
35,MC_SA,0,0.515634
35,SA,1,0.49694785848357426
35,MC_Avg,0,-1105084.488902054
35,Avg,1,-1103619.0181903779
36,MC_SA,0,0.477846
36,SA,1,0.45982089836256884
36,MC_Avg,0,-817926.4923138784
36,Avg,1,-812668.3858396647
37,MC_SA,0,0.385199
37,SA,1,0.3749104067803064
37,MC_Avg,0,-961510.9043592861
37,Avg,1,-959831.0811716521
38,MC_SA,0,0.580657
38,SA,1,0.5472068414415786
38,MC_Avg,0,-1307539.36377825
38,Avg,1,-1308144.8016451756
39,MC_SA,0,0.748439
39,SA,1,0.7552431833169166
39,MC_Avg,0,38127.47389465702
39,Avg,1,32865.752105764375
40,MC_SA,0,0.762061
40,SA,1,0.7724805182452278
40,MC_Avg,0,-427032.4467205287
40,Avg,1,-428554.5018276328
41,MC_SA,0,0.0
41,SA,1,0.0
41,MC_Avg,0,-5259860.89272301
41,Avg,1,-5259860.780294266
42,MC_SA,0,0.764348
42,SA,1,0.7701578650740163
42,MC_Avg,0,1167220.5907973873
42,Avg,1,1165636.0590489001
43,MC_SA,0,0.849614
43,SA,1,0.8582490887691496
43,MC_Avg,0,2037871.1130699553
43,Avg,1,2035841.9376851316
44,MC_SA,0,0.843581
44,SA,1,0.8515166135551073
44,MC_Avg,0,2142744.773236185
44,Avg,1,2134927.488792938
45,MC_SA,0,0.763074
45,SA,1,0.772832247160005
45,MC_Avg,0,4658882.598474104
45,Avg,1,4662371.602610812
46,MC_SA,0,0.458077
46,SA,1,0.42433280763227843
46,MC_Avg,0,-1342593.4200119888
46,Avg,1,-1341096.1302538621
47,MC_SA,0,0.855573
47,SA,1,0.8642677691341613
47,MC_Avg,0,941573.3808477217
47,Avg,1,940669.8761762471
48,MC_SA,0,0.610717
48,SA,1,0.5869690678011964
