test_case,metric_type,best_0,best_1,best_2,best_3,best_4,best_5
1,Avg,505454.58108827285,503564.0435116615,503564.0435116615,503564.0435116615,503564.0435116615,503564.0435116615
1,SA,0.721727,0.7225558146263821,0.7225558146263821,0.7225558146263821,0.7225558146263821,0.7225558146263821
2,Avg,3379538.216819062,3380313.666216705,3380313.666216705,3380313.666216705,3380313.666216705,3380313.666216705
2,SA,0.875368,0.8753424830943378,0.8753424830943378,0.8753424830943378,0.8753424830943378,0.8753424830943378
3,Avg,1052556.305419694,1053253.7639281044,1053253.7639281044,1053253.7639281044,1053253.7639281044,1053253.7639281044
3,SA,0.909904,0.9095207116564944,0.9095207116564944,0.9095207116564944,0.9095207116564944,0.9095207116564944
4,Avg,1445311.014959548,1445825.7816695436,1445825.7816695436,1445825.7816695436,1445825.7816695436,1445825.7816695436
4,SA,0.858311,0.8582570889069265,0.8582570889069265,0.8582570889069265,0.8582570889069265,0.8582570889069265
5,Avg,817946.7187266165,820110.0417187092,820110.0417187092,820110.0417187092,820110.0417187092,820110.0417187092
5,SA,0.879692,0.8796041160341433,0.8796041160341433,0.8796041160341433,0.8796041160341433,0.8796041160341433
6,Avg,2802853.275482246,2803386.0554835405,2803386.0554835405,2803386.0554835405,2803386.0554835405,2803386.0554835405
6,SA,0.960234,0.9602088347853734,0.9602088347853734,0.9602088347853734,0.9602088347853734,0.9602088347853734
7,Avg,270537.9129523304,270791.7813336586,270791.7813336586,270791.7813336586,270791.7813336586,270791.7813336586
7,SA,0.702259,0.7026044560044373,0.7026044560044373,0.7026044560044373,0.7026044560044373,0.7026044560044373
8,Avg,3169278.867531772,3171851.116667807,3171851.116667807,3171851.116667807,3171851.116667807,3171851.116667807
8,SA,0.839659,0.8394555404379207,0.8394555404379207,0.8394555404379207,0.8394555404379207,0.8394555404379207
9,Avg,-91524.3265209612,-87771.99230378708,-87771.99230378708,-87771.99230378708,-87771.99230378708,-87771.99230378708
9,SA,0.69203,0.6919376009677913,0.6919376009677913,0.6919376009677913,0.6919376009677913,0.6919376009677913
10,Avg,2748602.744476868,2749766.842681668,2749766.842681668,2749766.842681668,2749766.842681668,2749766.842681668
10,SA,0.963363,0.9633162769939057,0.9633162769939057,0.9633162769939057,0.9633162769939057,0.9633162769939057
11,Avg,-659302.97586,-659295.5632575493,-659295.5632575493,-659295.5632575493,-659295.5632575493,-659295.5632575493
